"X","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
1123,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
1122,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
1082,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
988,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
8,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
258,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5
635,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5
262,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
1598,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
928,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4
206,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
199,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
1299,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
1258,7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6
1549,11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
753,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5
398,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
1242,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
1179,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
1233,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
818,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
1373,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5
660,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
347,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
1098,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
671,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
55,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
1427,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
1068,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
860,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
932,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
1567,6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
1314,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6
194,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
460,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
1540,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5
1101,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6
998,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
713,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5
355,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
470,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
339,12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
200,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
1512,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
1283,7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
893,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6
766,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
1136,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
1029,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
469,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6
479,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
612,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
746,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
1286,11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
290,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
466,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
488,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
1479,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
1319,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
321,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
9,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
867,6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6
281,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
642,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
907,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
708,7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
1064,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6
1533,7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
1020,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
